epoch,train_loss,val_loss,train_accuracy,val_accuracy,val_auc
1,0.6759,0.5299,0.6654,0.7151,0.8028
2,0.5751,0.5035,0.712,0.7379,0.8316
3,0.5398,0.5015,0.7364,0.7372,0.8369
4,0.4967,0.4728,0.7579,0.7562,0.853
5,0.4931,0.4836,0.7617,0.7599,0.858
6,0.475,0.47,0.7674,0.7658,0.8646
7,0.4524,0.4879,0.7799,0.7761,0.866
8,0.4477,0.4611,0.7762,0.7827,0.873
9,0.4286,0.462,0.7895,0.7746,0.8755
10,0.4233,0.4586,0.7975,0.7878,0.8801
11,0.4249,0.4573,0.7964,0.801,0.8809
12,0.4009,0.4666,0.8032,0.7812,0.8816
13,0.3817,0.471,0.8146,0.8084,0.8849
14,0.3975,0.4921,0.817,0.801,0.8827
15,0.3754,0.5006,0.8271,0.7783,0.8805
16,0.3632,0.4792,0.8357,0.8106,0.8886
17,0.3497,0.4877,0.8308,0.8018,0.8869
18,0.346,0.4936,0.8387,0.8084,0.8881
19,0.3388,0.4921,0.8379,0.8084,0.8889
20,0.327,0.5082,0.8484,0.8025,0.8895
21,0.3275,0.5549,0.8546,0.7944,0.8868
22,0.3101,0.5233,0.8577,0.7937,0.8886
23,0.3088,0.5374,0.8552,0.8091,0.8923
24,0.3084,0.5064,0.8623,0.8106,0.893
25,0.2979,0.5321,0.8645,0.7907,0.8896
26,0.2901,0.5215,0.8655,0.8135,0.895
27,0.2923,0.502,0.8666,0.7944,0.8906
28,0.2697,0.5323,0.8754,0.804,0.8942
29,0.268,0.5349,0.8805,0.8018,0.8928
30,0.2598,0.5425,0.8853,0.8047,0.8949
31,0.2671,0.5792,0.8864,0.7966,0.8911
32,0.2513,0.5848,0.8923,0.8069,0.8949
33,0.2381,0.5876,0.8928,0.7893,0.8906
34,0.2485,0.6191,0.8937,0.8003,0.8933
35,0.2311,0.5822,0.8899,0.8135,0.8965
36,0.2393,0.5877,0.8972,0.8018,0.8949
37,0.2242,0.6508,0.8992,0.7885,0.8925
38,0.2049,0.6722,0.9086,0.8003,0.8933
39,0.2126,0.6399,0.9071,0.7959,0.8945
40,0.2017,0.6629,0.9148,0.7981,0.895
41,0.1988,0.7133,0.9172,0.7959,0.8939
42,0.1974,0.6876,0.9112,0.804,0.8913
43,0.1913,0.7123,0.9196,0.8062,0.8948
44,0.1923,0.6789,0.9183,0.8091,0.8955
45,0.1893,0.6239,0.9211,0.8003,0.895
46,0.1834,0.7204,0.9227,0.7915,0.892
47,0.1719,0.7667,0.9312,0.8054,0.8925
48,0.1638,0.7194,0.9336,0.812,0.8957
49,0.1607,0.7181,0.9314,0.8084,0.8962
50,0.1586,0.7184,0.933,0.804,0.8971
51,0.1498,0.7387,0.9348,0.8091,0.8958
52,0.1529,0.7663,0.9369,0.8062,0.8949
53,0.1556,0.7764,0.9343,0.7937,0.8949
54,0.1526,0.7172,0.9356,0.8018,0.8984
55,0.1586,0.7698,0.9347,0.8076,0.8971
56,0.1416,0.8052,0.9431,0.801,0.8953
57,0.1475,0.7542,0.9387,0.8091,0.8959
58,0.14,0.7608,0.9409,0.8076,0.897
59,0.1459,0.7707,0.9405,0.8106,0.897
60,0.1334,0.7806,0.9479,0.8106,0.8988
61,0.1286,0.7958,0.9457,0.8018,0.8956
62,0.14,0.8182,0.9475,0.8106,0.8965
63,0.1303,0.8243,0.9493,0.8128,0.8959
64,0.1322,0.8089,0.9444,0.8091,0.8981
65,0.1368,0.8671,0.9429,0.8106,0.8962
66,0.1374,0.8542,0.9464,0.8054,0.8981
67,0.1287,0.8388,0.9477,0.7988,0.8953
68,0.1276,0.8375,0.9471,0.8054,0.8947
69,0.1342,0.8093,0.9466,0.8018,0.8967
70,0.1254,0.8449,0.9446,0.8069,0.8954
71,0.1227,0.8452,0.9508,0.804,0.8971
72,0.12,0.8343,0.9521,0.8062,0.8988
73,0.1105,0.8918,0.9528,0.801,0.8974
74,0.1107,0.8511,0.9548,0.8135,0.8977
75,0.112,0.8702,0.9526,0.8047,0.8975
76,0.1137,0.8741,0.9558,0.804,0.8968
77,0.1108,0.8902,0.9537,0.804,0.8969
78,0.1109,0.8589,0.9552,0.8113,0.8992
79,0.1217,0.8467,0.9543,0.8098,0.8994
80,0.1103,0.8831,0.9534,0.8091,0.8975
81,0.1195,0.922,0.9486,0.8062,0.8962
82,0.1123,0.9129,0.9536,0.8172,0.8964
83,0.1187,0.9104,0.9499,0.8047,0.8968
84,0.1063,0.8785,0.9554,0.8076,0.897
85,0.1064,0.8903,0.955,0.801,0.8968
86,0.1036,0.9103,0.9611,0.8084,0.8971
87,0.1055,0.8978,0.9558,0.8091,0.898
88,0.1004,0.8734,0.9581,0.8076,0.8986
89,0.1077,0.8888,0.957,0.8135,0.8996
90,0.1045,0.8543,0.9563,0.8098,0.9008
91,0.1099,0.8769,0.9525,0.812,0.8995
92,0.1032,0.8964,0.9552,0.8128,0.8996
93,0.099,0.9084,0.96,0.8157,0.8981
94,0.0965,0.9174,0.9618,0.8142,0.8987
95,0.1079,0.9489,0.9547,0.8113,0.8991
96,0.1138,0.9063,0.9541,0.8179,0.8987
97,0.0951,0.9291,0.9602,0.8069,0.897
98,0.132,0.9356,0.9585,0.812,0.8987
99,0.1031,0.913,0.9574,0.8157,0.8987
100,0.114,0.956,0.9651,0.8084,0.8985
