epoch,train_loss,val_loss,train_accuracy,val_accuracy,val_auc
1,0.7107,0.5341,0.6261,0.7313,0.8103
2,0.5879,0.5355,0.6975,0.7489,0.8259
3,0.548,0.5104,0.7239,0.7577,0.8378
4,0.5125,0.5078,0.748,0.7651,0.8504
5,0.4972,0.4845,0.7504,0.768,0.8568
6,0.4747,0.4867,0.7619,0.7621,0.8596
7,0.4699,0.4839,0.7662,0.7856,0.8671
8,0.4537,0.4662,0.7796,0.7731,0.8668
9,0.4411,0.4665,0.783,0.7724,0.8672
10,0.4341,0.4533,0.7851,0.7944,0.8826
11,0.4211,0.4569,0.7933,0.7849,0.8788
12,0.4075,0.4617,0.7983,0.7812,0.8754
13,0.4101,0.466,0.8091,0.7783,0.8773
14,0.3885,0.465,0.8108,0.7856,0.8911
15,0.3902,0.4544,0.8164,0.7944,0.8885
16,0.3697,0.4596,0.8194,0.8018,0.8938
17,0.367,0.4769,0.8247,0.7944,0.8863
18,0.3495,0.4605,0.8385,0.804,0.8891
19,0.3412,0.4715,0.8374,0.7937,0.8945
20,0.3421,0.4843,0.8414,0.8003,0.8967
21,0.331,0.5031,0.846,0.7937,0.8974
22,0.3274,0.475,0.8477,0.8069,0.8969
23,0.3222,0.4796,0.8504,0.7922,0.8912
24,0.3121,0.5008,0.8601,0.7841,0.887
25,0.3029,0.5226,0.8622,0.7952,0.8962
26,0.2973,0.4884,0.861,0.7944,0.8946
27,0.3002,0.5191,0.868,0.7922,0.8918
28,0.281,0.5044,0.8816,0.8069,0.8989
29,0.2879,0.4962,0.8733,0.7988,0.8981
30,0.2732,0.5328,0.8856,0.79,0.8898
31,0.2638,0.5313,0.8853,0.7981,0.8945
32,0.2565,0.5188,0.8882,0.8018,0.8962
33,0.2486,0.5538,0.8913,0.8018,0.899
34,0.2619,0.5348,0.8877,0.7988,0.8961
35,0.2447,0.5782,0.8926,0.7849,0.8848
36,0.2319,0.5479,0.9031,0.801,0.899
37,0.2444,0.5465,0.8963,0.7996,0.8973
38,0.2195,0.5451,0.9036,0.801,0.8991
39,0.2241,0.5667,0.9038,0.8091,0.8971
40,0.2158,0.6181,0.9038,0.8003,0.9025
41,0.2059,0.6033,0.9062,0.8032,0.8923
42,0.2057,0.6305,0.9123,0.8054,0.9006
43,0.1898,0.6082,0.9169,0.8025,0.8936
44,0.1975,0.667,0.9101,0.7988,0.8976
45,0.1964,0.6249,0.9156,0.8084,0.896
46,0.1707,0.6756,0.9264,0.7952,0.8897
47,0.1801,0.6848,0.9257,0.8084,0.9019
48,0.1752,0.6924,0.9273,0.8091,0.8961
49,0.1723,0.6711,0.9258,0.8018,0.8987
50,0.165,0.6911,0.9293,0.8018,0.8954
51,0.1675,0.6897,0.9317,0.7996,0.897
52,0.1591,0.7008,0.935,0.8003,0.8963
53,0.1521,0.7068,0.9354,0.804,0.8987
54,0.1508,0.7099,0.9341,0.8076,0.896
55,0.1497,0.7167,0.9359,0.8091,0.9005
56,0.1558,0.7341,0.9363,0.801,0.8916
57,0.137,0.7205,0.9424,0.8172,0.8981
58,0.1361,0.7733,0.9444,0.8054,0.8948
59,0.1469,0.763,0.9403,0.8084,0.8969
60,0.1361,0.7676,0.9402,0.804,0.8964
