epoch,train_loss,val_loss,train_accuracy,val_accuracy,val_auc
1,0.6757,0.529,0.6386,0.7283,0.8119
2,0.5685,0.5111,0.7105,0.7467,0.8385
3,0.53,0.4944,0.7302,0.7555,0.8461
4,0.5128,0.4938,0.7456,0.7504,0.8474
5,0.503,0.4839,0.755,0.7467,0.8507
6,0.4637,0.4577,0.774,0.768,0.8648
7,0.4582,0.4533,0.7731,0.7651,0.8661
8,0.4502,0.4385,0.7825,0.7761,0.8765
9,0.4285,0.4545,0.7898,0.7768,0.8821
10,0.4165,0.4281,0.7952,0.7937,0.8842
11,0.4122,0.4353,0.7983,0.7761,0.8879
12,0.3889,0.4214,0.8146,0.7944,0.8904
13,0.3827,0.4234,0.8168,0.801,0.8913
14,0.374,0.4244,0.8186,0.7959,0.8928
15,0.3558,0.4263,0.8357,0.7996,0.8948
16,0.3497,0.4255,0.8376,0.8018,0.8981
17,0.3365,0.425,0.8427,0.801,0.8979
18,0.3272,0.4382,0.8489,0.8069,0.8959
19,0.3231,0.4329,0.8526,0.801,0.897
20,0.3096,0.4175,0.8605,0.8135,0.9005
21,0.2986,0.4327,0.8655,0.8179,0.9023
22,0.2959,0.4561,0.8706,0.812,0.9024
23,0.2889,0.4374,0.8743,0.8164,0.9038
24,0.2737,0.4395,0.8765,0.8172,0.9034
25,0.2838,0.476,0.8754,0.8142,0.8986
26,0.2672,0.4574,0.8811,0.8106,0.8986
27,0.2541,0.4675,0.8834,0.7988,0.8981
28,0.2584,0.4846,0.8891,0.8135,0.9021
29,0.2388,0.4826,0.8957,0.8018,0.8988
30,0.2425,0.4817,0.8902,0.8179,0.9025
31,0.2471,0.5653,0.897,0.8091,0.8992
32,0.2245,0.5163,0.9029,0.8135,0.9028
33,0.2287,0.4985,0.906,0.8157,0.9036
34,0.2123,0.5364,0.9113,0.8172,0.9061
35,0.1994,0.5634,0.9185,0.8062,0.9029
36,0.2075,0.5381,0.9135,0.8128,0.9042
37,0.1921,0.5722,0.9198,0.8047,0.8968
38,0.1967,0.549,0.9154,0.8253,0.9076
39,0.1809,0.6018,0.9257,0.8003,0.902
40,0.185,0.5706,0.9203,0.8142,0.9021
41,0.1812,0.6088,0.9209,0.8069,0.9029
42,0.1699,0.6645,0.9295,0.8062,0.8994
43,0.1781,0.6264,0.9231,0.8018,0.8975
44,0.1516,0.6261,0.9403,0.812,0.9011
45,0.1488,0.6326,0.9413,0.8142,0.8994
46,0.1589,0.6404,0.9332,0.7996,0.9002
47,0.1638,0.6539,0.9403,0.812,0.8992
48,0.1497,0.664,0.9343,0.801,0.8974
49,0.1383,0.6912,0.9403,0.8084,0.9003
50,0.1343,0.6844,0.9431,0.8157,0.9015
51,0.1297,0.8019,0.947,0.8003,0.8974
52,0.1232,0.7651,0.9492,0.8113,0.898
53,0.1128,0.7026,0.9512,0.8113,0.8987
54,0.1187,0.7765,0.9484,0.812,0.8975
55,0.1091,0.7286,0.9565,0.8172,0.8999
56,0.1299,0.7504,0.955,0.815,0.9012
57,0.1079,0.7811,0.9565,0.8047,0.8957
58,0.1215,0.7645,0.9493,0.8003,0.8983
