epoch,train_loss,val_loss,train_accuracy,val_accuracy,val_auc
1,0.656,0.5276,0.6356,0.7364,0.8108
2,0.5552,0.5163,0.7116,0.7438,0.8263
3,0.5288,0.5063,0.7267,0.7533,0.838
4,0.5103,0.4973,0.741,0.7489,0.8405
5,0.4879,0.4909,0.7577,0.7599,0.8494
6,0.4709,0.4913,0.766,0.7687,0.8582
7,0.4542,0.4604,0.7796,0.7753,0.8707
8,0.433,0.4904,0.786,0.7731,0.8545
9,0.4356,0.4515,0.7878,0.7827,0.8749
10,0.4135,0.4478,0.7975,0.7812,0.8823
11,0.4072,0.4584,0.8051,0.7841,0.8827
12,0.3891,0.4599,0.8073,0.7863,0.8799
13,0.3861,0.4454,0.8174,0.801,0.8891
14,0.3759,0.4465,0.8245,0.7996,0.8884
15,0.3701,0.4531,0.8271,0.7922,0.8917
16,0.3554,0.4532,0.8405,0.7966,0.8924
17,0.3505,0.4529,0.8431,0.8076,0.8969
18,0.3368,0.4435,0.8462,0.8025,0.8984
19,0.3138,0.4779,0.8577,0.7974,0.898
20,0.3309,0.4908,0.848,0.7922,0.8857
21,0.3045,0.4678,0.8656,0.8135,0.8986
22,0.3055,0.4724,0.8645,0.8091,0.9007
23,0.3007,0.4801,0.8644,0.8069,0.9012
24,0.2844,0.4935,0.8741,0.8106,0.9003
25,0.273,0.5009,0.8767,0.8113,0.9009
26,0.2741,0.5244,0.8796,0.7996,0.9003
27,0.254,0.5262,0.8902,0.7981,0.894
28,0.2637,0.5209,0.8862,0.8032,0.8984
29,0.2628,0.5273,0.8862,0.804,0.9001
30,0.2552,0.523,0.8945,0.8032,0.9033
31,0.2363,0.5048,0.8941,0.8128,0.9038
32,0.2395,0.531,0.8924,0.8142,0.8968
33,0.2318,0.5195,0.9025,0.8106,0.9003
34,0.2168,0.5983,0.9077,0.7915,0.8947
35,0.2124,0.5235,0.9068,0.8142,0.9043
36,0.209,0.5412,0.9086,0.8098,0.902
37,0.2058,0.5545,0.9134,0.8106,0.9014
38,0.2023,0.5539,0.9091,0.8231,0.9058
39,0.1925,0.5744,0.9191,0.8069,0.9007
40,0.2043,0.5906,0.9172,0.8201,0.9037
41,0.1954,0.5648,0.926,0.8142,0.9041
42,0.1798,0.595,0.9235,0.815,0.9019
43,0.169,0.6155,0.9301,0.8223,0.905
44,0.1642,0.6333,0.9301,0.7966,0.8935
45,0.1793,0.671,0.9257,0.804,0.8959
46,0.1456,0.6503,0.9369,0.8142,0.9023
47,0.1479,0.6444,0.9369,0.8098,0.9015
48,0.1608,0.7014,0.9354,0.8106,0.9008
49,0.1471,0.6367,0.9387,0.8216,0.9043
50,0.1538,0.6626,0.9466,0.8194,0.902
51,0.1382,0.7157,0.9407,0.8084,0.8999
52,0.1337,0.6911,0.9429,0.8091,0.9006
53,0.13,0.7277,0.9448,0.8047,0.8956
54,0.1262,0.6947,0.9466,0.8209,0.9031
55,0.1259,0.7162,0.9497,0.8142,0.9006
56,0.1195,0.6997,0.9503,0.8172,0.9011
57,0.1169,0.7094,0.9504,0.8084,0.9031
58,0.1318,0.7173,0.9517,0.8209,0.9071
59,0.1141,0.7321,0.9574,0.8128,0.9016
60,0.1109,0.758,0.957,0.8157,0.8972
61,0.1532,0.7646,0.9479,0.812,0.8996
62,0.1151,0.7554,0.9537,0.8084,0.9009
63,0.113,0.7244,0.9528,0.8142,0.9035
64,0.1103,0.7565,0.957,0.8201,0.9062
65,0.1127,0.7694,0.9565,0.8164,0.8997
66,0.1141,0.7842,0.9532,0.8142,0.9016
67,0.1139,0.8206,0.9556,0.8128,0.8971
68,0.1113,0.7912,0.9574,0.812,0.8987
69,0.1055,0.7926,0.9559,0.8172,0.9004
70,0.1098,0.7876,0.9611,0.8201,0.903
71,0.0925,0.7878,0.9644,0.812,0.9025
72,0.0998,0.7903,0.9653,0.8186,0.9043
73,0.0996,0.7968,0.9605,0.812,0.9028
74,0.0976,0.8305,0.9589,0.8142,0.901
75,0.1145,0.8283,0.9609,0.8135,0.8996
76,0.0927,0.8559,0.9627,0.8128,0.9024
77,0.0851,0.828,0.9627,0.8142,0.8973
78,0.0914,0.8167,0.962,0.8164,0.8985
