Distance,GAT_Type,Layers,accuracy,recall,specificity,f1,mcc,auc
4.0A,2Layer_GAT,2,0.812 ± 0.008,0.832 ± 0.029,0.796 ± 0.029,0.801 ± 0.009,0.626 ± 0.014,0.905 ± 0.005
4.0A,3Layer_GAT,3,0.820 ± 0.012,0.822 ± 0.024,0.819 ± 0.037,0.806 ± 0.008,0.640 ± 0.019,0.907 ± 0.007
8.0A,2Layer_GAT,2,0.815 ± 0.002,0.830 ± 0.021,0.804 ± 0.018,0.803 ± 0.004,0.631 ± 0.004,0.908 ± 0.001
8.0A,3Layer_GAT,3,0.816 ± 0.010,0.824 ± 0.025,0.809 ± 0.030,0.802 ± 0.009,0.632 ± 0.019,0.906 ± 0.004
12.0A,2Layer_GAT,2,0.808 ± 0.009,0.833 ± 0.017,0.787 ± 0.026,0.797 ± 0.007,0.618 ± 0.016,0.904 ± 0.005
12.0A,3Layer_GAT,3,0.812 ± 0.005,0.825 ± 0.014,0.802 ± 0.011,0.799 ± 0.006,0.624 ± 0.011,0.902 ± 0.003
