epoch,train_loss,val_loss,train_accuracy,val_accuracy,val_auc
1,0.6226,0.5029,0.6775,0.7379,0.8257
2,0.5593,0.4747,0.7208,0.754,0.8514
3,0.5192,0.4679,0.7333,0.7709,0.8613
4,0.4997,0.4466,0.7456,0.7731,0.8705
5,0.4857,0.4542,0.7581,0.7827,0.8715
6,0.465,0.4403,0.7759,0.7893,0.8784
7,0.4542,0.4306,0.7689,0.7863,0.8823
8,0.4293,0.4311,0.7904,0.7922,0.8821
9,0.4213,0.4197,0.7902,0.7893,0.8866
10,0.4099,0.4257,0.8054,0.7849,0.8858
11,0.3891,0.439,0.8097,0.7731,0.8869
12,0.3811,0.4301,0.8137,0.804,0.8908
13,0.3663,0.4185,0.8242,0.7996,0.8941
14,0.3692,0.4314,0.822,0.7944,0.8885
15,0.3467,0.4116,0.8377,0.8142,0.8979
16,0.3494,0.4092,0.8436,0.812,0.8981
17,0.3405,0.4265,0.8383,0.8128,0.8998
18,0.3286,0.4286,0.846,0.8047,0.8967
19,0.3131,0.4225,0.8532,0.8098,0.9004
20,0.3125,0.4139,0.8555,0.8186,0.9038
21,0.3086,0.4419,0.8625,0.8018,0.8974
22,0.2934,0.4265,0.8715,0.8091,0.901
23,0.2885,0.4433,0.8622,0.8223,0.9048
24,0.2721,0.4507,0.8818,0.8084,0.8995
25,0.2666,0.4471,0.8756,0.8084,0.9041
26,0.2643,0.4728,0.8855,0.812,0.9033
27,0.2549,0.4653,0.8853,0.8113,0.9042
28,0.2449,0.4756,0.8943,0.8098,0.9004
29,0.2431,0.4607,0.8965,0.8238,0.9073
30,0.2288,0.494,0.8983,0.8164,0.9043
31,0.232,0.4845,0.8968,0.8172,0.9031
32,0.2178,0.4974,0.9047,0.815,0.9049
33,0.2153,0.4946,0.9016,0.8142,0.9039
34,0.2137,0.5112,0.9058,0.8186,0.9047
35,0.2078,0.4924,0.9082,0.8201,0.906
36,0.1996,0.492,0.9148,0.8062,0.9056
37,0.1936,0.5554,0.9242,0.8164,0.9051
38,0.1926,0.5229,0.9194,0.8172,0.9062
39,0.1801,0.5202,0.9211,0.8128,0.9058
40,0.1688,0.538,0.9301,0.8157,0.9038
41,0.1742,0.555,0.931,0.8179,0.905
42,0.1722,0.5387,0.9312,0.8216,0.9073
43,0.1502,0.5548,0.9367,0.8186,0.9059
44,0.1491,0.5669,0.9394,0.815,0.9057
45,0.1468,0.5753,0.9418,0.8164,0.9075
46,0.1548,0.5887,0.9435,0.8164,0.9055
47,0.1421,0.5783,0.9433,0.8135,0.9054
48,0.1424,0.5917,0.9424,0.8172,0.9073
49,0.1314,0.6085,0.9446,0.8106,0.9043
50,0.1429,0.6182,0.9416,0.8142,0.9057
51,0.1306,0.6067,0.9499,0.8142,0.9072
52,0.1311,0.6548,0.9482,0.8142,0.9043
53,0.1249,0.6137,0.9484,0.8201,0.9049
54,0.126,0.6413,0.9479,0.8209,0.9049
55,0.1222,0.6746,0.9532,0.812,0.9026
56,0.1335,0.6392,0.9517,0.8142,0.9047
57,0.1238,0.6339,0.9526,0.8172,0.9045
58,0.1178,0.6408,0.9519,0.815,0.9052
59,0.1104,0.663,0.9539,0.8128,0.9042
60,0.1225,0.6421,0.9537,0.8186,0.9059
61,0.1166,0.6659,0.9572,0.8172,0.9065
62,0.1187,0.6717,0.9559,0.8091,0.9035
63,0.1072,0.6631,0.9567,0.8164,0.9038
64,0.1058,0.6958,0.9572,0.8172,0.9056
65,0.108,0.7009,0.9563,0.815,0.904
