epoch,train_loss,val_loss,train_accuracy,val_accuracy,val_auc
1,0.6722,0.5113,0.6654,0.7394,0.8198
2,0.5586,0.4992,0.7129,0.7438,0.8302
3,0.5262,0.4686,0.7263,0.7511,0.8517
4,0.5056,0.4529,0.7438,0.7621,0.8614
5,0.4794,0.4386,0.7581,0.7761,0.8707
6,0.4677,0.4392,0.7722,0.7805,0.877
7,0.443,0.4214,0.7757,0.779,0.8826
8,0.4456,0.4325,0.7867,0.7731,0.8824
9,0.4169,0.4361,0.7928,0.7834,0.8887
10,0.4059,0.4172,0.8032,0.7761,0.8848
11,0.4005,0.4354,0.8045,0.7775,0.8888
12,0.3821,0.4071,0.8087,0.7841,0.8935
13,0.3734,0.4093,0.8192,0.7849,0.8947
14,0.3619,0.4072,0.8236,0.8025,0.8972
15,0.3499,0.4247,0.8366,0.7893,0.8965
16,0.3475,0.4183,0.8374,0.7915,0.8967
17,0.3334,0.4082,0.8421,0.8062,0.9004
18,0.3201,0.4169,0.8539,0.7974,0.9014
19,0.3188,0.4172,0.8488,0.8091,0.9049
20,0.3105,0.4176,0.859,0.8069,0.9065
21,0.3057,0.4333,0.8612,0.8076,0.9041
22,0.2893,0.4184,0.8651,0.7988,0.9066
23,0.2909,0.4133,0.8666,0.8069,0.9058
24,0.2721,0.436,0.8785,0.8157,0.9078
25,0.2675,0.4107,0.8763,0.8069,0.9088
26,0.245,0.5114,0.8912,0.7952,0.9029
27,0.2592,0.4589,0.884,0.8069,0.9084
28,0.2506,0.4581,0.8899,0.8128,0.9086
29,0.2431,0.4499,0.8882,0.8076,0.9086
30,0.2277,0.4622,0.9011,0.8106,0.9085
31,0.2297,0.5029,0.8954,0.8054,0.9097
32,0.2089,0.4784,0.9071,0.8098,0.9093
33,0.2315,0.4761,0.9014,0.8091,0.9068
34,0.2094,0.5037,0.9058,0.7974,0.903
35,0.2073,0.516,0.9124,0.8106,0.9062
36,0.1908,0.5725,0.9163,0.8113,0.9055
37,0.1853,0.5237,0.9174,0.8047,0.9037
38,0.1811,0.5363,0.9231,0.8047,0.9057
39,0.1776,0.5554,0.9238,0.8025,0.9045
40,0.1723,0.5694,0.9244,0.8062,0.9066
41,0.1727,0.5793,0.9257,0.8025,0.9008
42,0.1768,0.5665,0.9332,0.8142,0.91
43,0.1658,0.5618,0.9314,0.8076,0.9073
44,0.1644,0.5861,0.9326,0.8054,0.9055
45,0.1708,0.5711,0.9266,0.7996,0.9046
46,0.1559,0.6609,0.935,0.7988,0.9039
47,0.1451,0.6078,0.9391,0.8084,0.9075
48,0.1519,0.6163,0.9398,0.812,0.9071
49,0.1488,0.632,0.9391,0.8091,0.9044
50,0.144,0.6541,0.9425,0.8054,0.9027
51,0.1286,0.6151,0.9466,0.8091,0.902
52,0.1247,0.6673,0.9497,0.815,0.9048
53,0.1212,0.6883,0.9479,0.8076,0.9052
54,0.1298,0.6512,0.9486,0.815,0.906
55,0.106,0.6831,0.957,0.8113,0.9038
56,0.1061,0.7001,0.9559,0.8084,0.9046
57,0.1039,0.7154,0.9593,0.8142,0.906
58,0.0994,0.7042,0.9581,0.8135,0.9047
59,0.1054,0.7197,0.9559,0.812,0.9027
60,0.1012,0.7677,0.9605,0.8003,0.9017
61,0.0927,0.725,0.9635,0.8142,0.9044
62,0.0914,0.7599,0.9651,0.8084,0.9053
