epoch,train_loss,val_loss,train_accuracy,val_accuracy,val_auc
1,0.6377,0.5339,0.6757,0.7151,0.8041
2,0.5615,0.5036,0.7184,0.7247,0.8312
3,0.5304,0.4933,0.7357,0.7452,0.844
4,0.4989,0.472,0.7529,0.7548,0.8549
5,0.4787,0.4655,0.7627,0.7452,0.8634
6,0.4615,0.4632,0.7711,0.7606,0.8713
7,0.4605,0.4501,0.7739,0.7665,0.8749
8,0.4317,0.4418,0.7891,0.7819,0.8789
9,0.4286,0.4423,0.7874,0.7841,0.8835
10,0.4063,0.4276,0.8014,0.8003,0.8897
11,0.4065,0.434,0.8012,0.7937,0.8888
12,0.3934,0.4264,0.8098,0.7944,0.8911
13,0.3775,0.4248,0.8174,0.8032,0.8928
14,0.3681,0.4576,0.8242,0.7871,0.8906
15,0.3622,0.441,0.8275,0.8062,0.8952
16,0.3445,0.4488,0.832,0.7907,0.8954
17,0.3405,0.4433,0.8399,0.8047,0.8974
18,0.3337,0.4504,0.8465,0.8062,0.8973
19,0.3195,0.4684,0.8533,0.8054,0.9003
20,0.3105,0.4871,0.8526,0.804,0.8982
21,0.3091,0.4436,0.8557,0.8098,0.9022
22,0.2931,0.504,0.8653,0.8062,0.9003
23,0.2872,0.4624,0.8684,0.8084,0.9043
24,0.2887,0.4956,0.8739,0.8076,0.8993
25,0.2745,0.5272,0.8783,0.8003,0.9004
26,0.2649,0.4579,0.8827,0.8128,0.9045
27,0.2632,0.5098,0.8822,0.8062,0.9038
28,0.2418,0.5493,0.8941,0.8018,0.9019
29,0.2353,0.5181,0.899,0.7966,0.9006
30,0.2287,0.5075,0.9003,0.8135,0.9046
31,0.2227,0.5356,0.9062,0.812,0.9043
32,0.2077,0.5341,0.9091,0.8164,0.9045
33,0.2254,0.5507,0.9042,0.8003,0.901
34,0.2133,0.5338,0.9049,0.8179,0.9002
35,0.2003,0.6372,0.9077,0.8018,0.9
36,0.2038,0.5397,0.9115,0.8179,0.907
37,0.2082,0.5646,0.9157,0.8157,0.8999
38,0.1777,0.6291,0.9257,0.8091,0.9012
39,0.1725,0.6155,0.9258,0.812,0.9041
40,0.1695,0.6779,0.9317,0.812,0.9014
41,0.1736,0.6064,0.9275,0.8164,0.9039
42,0.171,0.6189,0.9312,0.8223,0.9062
43,0.1636,0.6934,0.9347,0.8098,0.9039
44,0.1616,0.682,0.9332,0.8069,0.9034
45,0.1573,0.6322,0.9341,0.8186,0.904
46,0.1498,0.6898,0.9414,0.815,0.9025
47,0.1535,0.7242,0.9363,0.8164,0.9008
48,0.1291,0.6708,0.9468,0.8157,0.9039
49,0.1404,0.6935,0.9468,0.8209,0.9036
50,0.1283,0.7126,0.9481,0.8186,0.9045
51,0.1223,0.7248,0.9481,0.815,0.9034
52,0.1189,0.7107,0.9523,0.8179,0.904
53,0.1133,0.7326,0.9543,0.8179,0.9037
54,0.1136,0.7808,0.9534,0.8172,0.9026
55,0.1138,0.7586,0.9556,0.8135,0.9022
56,0.1198,0.7498,0.9539,0.8186,0.9024
